,Song,Artist
243,Frozen,Madonna
244,It's Like That,Run-DMC vs. Jason Nevins
245,All That I Need,Boyzone
246,Under the Bridge / Lady Marmalade,All Saints
247,Turn Back Time,Aqua
248,Feel It,The Tamperer featuring Maya
249,C'est la Vie,B*Witched
250,3 Lions '98,"Baddiel, Skinner and The Lightning Seeds"
251,Because We Want To,Billie
252,Freak Me,Another Level
253,Deeper Underground,Jamiroquai
254,Viva Forever,Spice Girls
255,No Matter What,Boyzone
256,If You Tolerate This Your Children Will Be Next,Manic Street Preachers
257,Bootie Call,All Saints
258,Millennium,Robbie Williams
259,I Want You Back,Melanie B featuring Missy Elliott
260,Rollercoaster,B*Witched
261,Girlfriend,Billie
262,Gym and Tonic,Spacedust
263,Believe †,Cher
264,To You I Belong,B*Witched
265,Goodbye,Spice Girls
266,Chocolate Salty Balls (P.S. I Love You),Chef
267,Heartbeat / Tragedy,Steps
268,Praise You,Fatboy Slim
269,A Little Bit More,911
270,Pretty Fly (for a White Guy),The Offspring
271,You Don't Know Me,Armand van Helden featuring Duane Harden
272,Maria,Blondie
273,Fly Away,Lenny Kravitz
274,...Baby One More Time †,Britney Spears
275,When the Going Gets Tough,Boyzone
276,Blame It on the Weatherman,B*Witched
277,Flat Beat,Mr. Oizo
278,Perfect Moment,Martine McCutcheon
279,Swear It Again,Westlife
280,I Want It That Way,Backstreet Boys
281,You Needed Me,Boyzone
282,Sweet Like Chocolate,Shanks & Bigfoot
283,Everybody's Free (To Wear Sunscreen),Baz Luhrmann
284,Bring It All Back,S Club 7
285,"Boom, Boom, Boom, Boom!!",Vengaboys
286,9 PM (Till I Come),ATB
287,Livin' la Vida Loca,Ricky Martin
288,When You Say Nothing at All,Ronan Keating
289,If I Let You Go,Westlife
290,Mi Chico Latino,Geri Halliwell
291,Mambo No. 5 (A Little Bit Of...),Lou Bega
292,We're Going to Ibiza!,Vengaboys
293,Blue (Da Ba Dee),Eiffel 65
294,Genie in a Bottle,Christina Aguilera
295,Flying Without Wings,Westlife
296,Keep on Movin',Five
297,Lift Me Up,Geri Halliwell
298,She's the One / It's Only Us,Robbie Williams
299,King of My Castle,Wamdue Project
300,The Millennium Prayer,Cliff Richard
301,I Have a Dream / Seasons in the Sun,Westlife
302,The Masses Against the Classes,Manic Street Preachers
303,Born to Make You Happy,Britney Spears
304,Rise,Gabrielle
305,Go Let It Out,Oasis
306,Pure Shores,All Saints
307,American Pie,Madonna
308,Don't Give Up,Chicane featuring Bryan Adams
309,Bag It Up,Geri Halliwell
310,Never Be the Same Again,Melanie C featuring Lisa Left Eye Lopes
311,Fool Again,Westlife
312,Fill Me In,Craig David
313,Toca's Miracle,Fragma
314,Bound 4 da Reload (Casualty),Oxide & Neutrino
315,Oops!... I Did It Again,Britney Spears
316,Don't Call Me Baby,Madison Avenue
317,Day & Night,Billie Piper
318,It Feels So Good,Sonique
319,You See the Trouble with Me,Black Legend
320,Spinning Around,Kylie Minogue
321,The Real Slim Shady,Eminem
322,Breathless,The Corrs
323,Life Is a Rollercoaster,Ronan Keating
324,We Will Rock You,Five and Queen
325,7 Days,Craig David
326,Rock DJ,Robbie Williams
327,I Turn to You,Melanie C
